＃,Japanese,English,French,German
254,EMC,electromagnetic compatibility,"compatibilite electromagnetique (f), CEM","elektromagnetische Vertraglichkeit (f), EMV"
255,EMU,electric multiple unit,rame automotrice electrique (f),"mehrteiliger Elektrotriebwagen (m), Elektrotriebwagenzug (m)"
256,医学適性検査,medical examination,examen medical (m),"arztliche Untersuchung (f), medizinische Eignungstest (f)"
257,いかだ基礎,"mat foundation, raft foundation","fondation-dalle (f), fondation sur radier (f), radier de fondation (m)","Plattenfundament (n), Plattengrundung (f), Flachgrundung"
258,行違い駅,interchange point,gare d’echange (f),Austauschstation (f)
259,行違い変更,passing each other at different siding,changement de croisement (m),aneinander Vorbeifahren auf verschiedenen Nebengleisen (n)
260,イグレス交通機関,egress trip (mode),"transport de sortie, moyens de transport d’egress (m)",Ausgangstransport (m)
261,異形鋼矢板,deformed sheet pile,palplanche deformee (f),"deformierte Spundbohle (f), deformierte Spundwandbohle (f)"
262,異形断面シールド,deformed section shield,bouclier de section deformee (m),"Tunnelschild (m), Vortriebsschild (m), Umformungvortriebschild (f)"
263,異形継目板［レールの］,step joint-bar,joint entre rails de types differents (m),Ubergangslasche (f)
264,異形鉄筋,"deformed bar, deformed reinforcing bar",barres d’armatures crenelees (fpl),Betonformstahl (m)
265,異形トロリー線,deformed section contact wire,cable de contact a section deformee (m),verformter Sektionskontaktdraht (m)
266,イ号アルミ合金線,I-aluminium alloy conductors,conducteurs en alliage d’aluminium I (mpl),I-Aluminium-Legierungsdraht (m)
267,イコライザー台車,"equalizer truck（米), equaliser bogie（英）","camion equilibreur (m), boggie equilibreur (m)","Schwinghebelfahrgestell (n), Schwinghebeldrehgestell (n)"
268,イーサーネット列車伝送システム,ethernet based train transmission system,systeme de transmission de train base sur ethernet (m),Zugubertragungssystem auf Ethernet-Basis (n)
269,EC［曲線の］,end of curve,fin de courbe (f),"BE, Bogenende (f)"
270,ECN,ethernet consist network,Reseau Ethernet Consistant (m),Ethernet Consist-Netzwerk (n)
271,ECL工法,"extruded concrete lining method, ECL method",methode de revetement en beton extrude (f),"Strangpresbetonauskleidung-methode (f), Strangpresbetonmantel-methode (f)"
272,ECC［曲線の］,end of circular curve,fin de courbe circulaire (f),Kreisbogenende (f)
273,ECB,eddy-current brake,frein a courants de Foucault (m),Wirbelstrombremse (f)
274,蝟集［旅客流動の］,swarm,"nuee (f), essaimage (m)","Schwarm (m), Schwarmbildung (f)"
275,異周波混触保護［電力の］,protection for mix of different frequency powers,protection contre alimentations de frequences differentes (f),Schutz fur gemischte andere Frequenzleistungen (pl)
276,異周波対策［新幹線の］,countermeasures for mixed different frequency powers,mesures contre les frequences differentes melangees (fpl),Gegenmasnahmen fur gemischtverschiedene Frequenzleistungen (pl)
277,異種金属接触腐食,"bimetallic corrosion, galvanic corrosion",La corrosion bimetallique (f),"zweimetallische Korrosion (f), elektrochemische Korrosion (f)"
278,E種定格［シリコン整流器の］,E class rating,mode de service nominale de classe E (f),Klasse-E-Nenndaten (pl)
279,異常検知,"anomaly detection, outlier detection, abnormality detection","detection d’anomalies (f), detection des valeurs aberrantes (f), detection d’anomalie (f)","Anomalieerkennung (f), Abweichungserkennung (f)"
280,異常震域,region of anomalous seismic intensity,zone de l’intensite sismique anormale (f),Gebiet mit anormaler Erdbebenhaufigkeit (n)
281,異常摩耗［パンタグラフすり板の］,abnormal wear,usure anormale (f),anormal verschleistes Profil (n)
282,E制御弁,E control valve,"robinet de commande E (m), distributeur E (m)",E-Steuerventil (n)
283,異線進入［車輪の］,"running into wrong track, misguiding","acheminement a contre-sens (m), acheminement a contre-voie (m), circulation a contre-sens (f), circulation a contre-voie (f), marche a contre-sens (f), marche a contre-voie (f)","Befahren des Gleises der Gegenrichtung (n), Befahren des falschen Gleises (n), Falschfahrt (f)"
284,移相器,"phase shifter, phase adjuster",dephaseur (m),"Phasenschieber (m), Phaseneinsteller (m)"
285,位相基準［超電導磁気浮上式鉄道の］,phase reference,reference de phase (f),Phasenbezug (m)
286,位相検知リレー［軌道回路の］,phase detecting relay,"relais de la comparaison de phase (m), relais de la detection de phase (m)","Phasendetektor (m), Phasendiskriminator (m)"
287,位相差［構造物振動の］,phase difference,difference de phase (f),"Phasenungleichheit (f), Phasenunterschied (m)"
288,位相差運転,phase shift operation,"dephasage (m), decalage de phases (m)","Phasenwinkelverschiebung (f), Phasenverschiebung (f)"
289,位相差スペクトル［構造物振動の］,phase difference spectrum,spectre de difference de phase (m),"Phasenungleichheitsspektrum (n), Phasenunterschiedsspektrum (n)"
290,位相制御,phase control,commande par retard d’amorcage (f),Anschnittsteuerung (f)
291,異相セクション［交流電化区間の］,different phase section,"section a phase differente (f), section de separation (f)",verschiedenphasiger Abschnitt (m)
292,位相調整器［軌道回路の］,"phase shifter, phase adjuster, phase advance device",regulateur de phase (m),"Kommutator-Phasenschieber (m), Phasenregler (m)"
293,位相同期制御［リニアシンクロナスモーターの］,phase synchronization control,commande de synchronisation de phases (f),Steuerung der Phasensynchronisation (f)
294,位相変調方式［情報伝送の］,"phase modulation, phase shift modulation",modulation de phase (f),Phasenmodulation (f)
295,委託駅,consignment station,gare expeditrice (f),"Versandbahnhof (m), Verladebahnhof (m)"
296,板車輪,disk wheel（米）/disc wheel（英）,"roue pleine (f), roue a centre plein (f), roue a toile pleine (f)","Scheibenrad (n), vollwandiges Rad (n)"
297,板台枠［台車の］,"plate frame, sheet metal frame",chassis en tole (m),"Blechrahmen (m), Blechuntergestell (n)"
298,板ばね［締結装置の］,"plate-shaped, spring clip","agrafe de bandage (f), cercle-agrafe de bandage (m), cercle-agrafe de retenue (m)",Blattfederklemme (m)
299,板部［車輪の］,"plate, web",plaque (f),"Platte (f), Steg (m)"
300,1M方式［電車の］,traction control system for single motor-car,systeme de commande de traction pour motrice simple (m),Antriebs-Schlupf-Regelung fur einen Triebwagen (f)
301,1円単位運賃,fare set by one yen,prix de transport fixe a \ 1 (m),Fahrpreis von einem Yen (m)
302,位置検知［列車の］,"position detection, train detection",localisation des trains (f),"Zugortung-Erfassungsverfahren (n), Fahrzeugslage-Erfassungsverfahren (n), Ortungsverfahren (n)"
303,位置検知［超電導磁気浮上式鉄道の］,"train position detection, train location","detection de position (f), localisation (f)",Zugortungssystem (n)
304,1C1M方式［電動機群の］,particular motor control,controle moteur particulier (m),bestimmte Motorsteuerung (f)
305,一次側［電気回路の］,primary side,"cote primaire (m), face primaire (f)",Primarseite (f)
306,1時間最大電力［変電所の］,maximum hourly electric power,puissance electrique horaire maximale (f),elektrische Hochstleistung pro Stunde (f)
307,1時間出力,hourly electric power,puissance electrique horaire (f),stundliche elektrische Leistung (f)
308,1時間定格［電気機器の］,hourly rating,regime unihoraire (m),stundlicher Nennwert (m)
309,1時間目列車ダイヤ,"train schedule, timetable drawn in one-hour unit",horaire des trains par unite d’une heure (m),"Zugverzeichnis (n), Fahrplan dargestellt in Ein-Stunden-Einheiten (m)"
310,一軸台車,"single axle truck, two wheel truck",organes de roulement a un seul essieu (mpl),"Einachsdrehgestell (n), Einachslaufwerk (n), einachsiges Drehgestell (n)"
311,一軸蛇行動,hunting motion of wheelset,mouvement de lacet d’essieu (m),Radsatzschlingern (n)
312,一軸蛇行動の波長,wave length of hunting motion of wheelset,longueur d’onde de mouvement de lacet d’essieu (f),Wellenlange von Radsatzschlingern (f)
313,一次ばね,primary suspension,suspension primaire (f),"Primarfederung (f), Achsfederung (f)"
314,一次覆工［トンネルの］,primary lining,revetement primaire (m),primares Futter (n)
315,一次巻線［主変圧器の］,primary winding,enroulement primaire (m),Primarwicklung (f)
316,一次溶接,"first welding, plant welding, work shop welding",premier soudage (m),"erstes Schweisen (n), erste Schweisarbeit (f)"
317,一段減速装置,single reduction gear,engrenage a simple reduction (m),"einfaches Reduktionsgetriebe (n), einfaches Untersetzungsgetriebe (n)"
318,一探触子法［超音波探傷の］,single probe technique of ultrasonic testing,technique du monopalpeur de procede d’examen ultrasonique (f),Einkopftechnik der Ultraschallprufung (f)
319,一段ブレーキ制御,brake control with continuous curve,controle de frein avec courbe continue (m),Bremssteuerung mit Krummungssteifigkeit (f)
320,一段リンク装置［二軸車の］,"single shackle suspension device, single link suspension device",suspension a simple anneau (f),"einfache Federschakelaufhangung (f), einfache Federfesselaufhangung (f)"
321,鋳縮み,shrinkage,retrait (m),Schrumpfung (f)
322,一方向スラブ,one-way slab,dalle en beton arme a l’armature disposee dans une seule direction (f),einsinnig bewehrte Platte (f)
323,1 m代表値［軌道変位の］,representative values for 1 meter,"valeurs representatives pour 1 (fpl) (m), valeurs caracteristiques pour 1 (fpl) (m)",charakteristische Werte fur 1 (pl) (m)
324,一葉化券,combined ticket with fares and other charges,ticket incluant le supplement (m),kombinierte Karte fur Fahrpreise und andere Gebuhren (f)
325,一様線音源,homogeneous line sound source,source sonore lineaire homogene (f),homogene Linienschallquelle (f)
326,1ロットケーソン,one lot caisson,caisson d’un bloc (m),Ein-Einheit-Caisson (m)
327,一括制御［電動機群の］,integrated motor control,controle moteur integre (m),integrierte Motorsteuerung (f)
328,一括ノッチ,notch setting at one time,reglage d’echancrure en une seule fois (m),Steuerstufeneinstellung zu einem Zeitpunkt (f)
329,一級線,first class line,"voie de 1ere categorie (f), voie ferree de premiere categorie (f)",Gleis erster Klasse (n)
330,一種パッド,resilient rail pads for railcut prevention,semelles de rail resistant pour la prevention de coupure de rail (f),elastische Schienenauflagen zum Schutz vor Gleisabtragung (pl)
331,1種踏切道,class 1 level crossing,passage a niveau de categorie 1 (m),Wegubergang der Klasse 1 (m)
332,1線スルー,through alignment for passing track,gare de passage a voie droite (f),durchgehende Ausrichtung fur vorbeifahrende Zuge (f)
333,逸走［車両の］,overrun,derive (f),"uberfahren (v), Uberfahren (n)"
334,一体圧延車輪,"solid rolled wheel, wrought wheel",roue pleine laminee (f),"gewalztes Vollrad (n), gewalztes Monoblockrad (n)"
335,一体圧延車輪の熱処理,heat treatment of monoblock wheel（solid wheel）,traitement thermique de roue monobloc (m),Warmebehandlung von gewalztem Monoblockrad ( Vollrad ) (f)
336,一体型地上コイル,unified type ground coil,bobinage au sol de type unifie (m),Einheits-Bodenspule (f)
337,一体型ディスク,one piece disc,disque monobloc (m),ein Arte Scheibe (f)
338,逸脱防止ガード,vehicle guide device after derailment,dispositif de guidage de vehicule apres le deraillement (m),Fahrzeugfuhrungsvorrichtung nach Entgleisung (f)
339,一旦停止標識,one stop sign marker,marqueur de signal d’arret provisoire (m),Halteschild (n)
340,一柱一杭基礎,one-column one-pile foundation system,fondation a une colonne et un pieu (f),Ein-Saulen-ein-Pfahl- Fundamentsystem (m)
341,井筒,"open caisson, well","caisson ouvert, puits (m)",offener Caisson (m)
342,井筒基礎,"open caisson foundation, well foundation","fondation par foncage de puits (f), fondation sur puits (f)","Brunnengrundung (f), Senkbrunnengrundung (f)"
343,井筒部,well portion,caisson ouvert (m),offener Caisson-Teil (m)
344,1.5複線,1.5 double track,"double voie 1,5 (f)",1.5-Doppelspur (f)
345,一点接触［車輪／レールの］,one point contact,contact a un point (m),Einpunkt-Kontakt (m)
346,1.2複線,1.2 double track,"double voie 1,2 (f)",1.2-Doppelspur (f)
347,一等客車,first-class coach,voiture de premiere classe (f),Reisezugwagen 1. Klasse (m)
348,イットリウム［超電導体の］,yttrium（Y）,yttrium (Y) (m),Yttrium (n)
349,イットリウム系線材,YBCO coated conductor,conducteur enduit YBCO (m),YBCO-beschichteter Leiter (m)
350,イットリウム（Y）系超電導体,Y（yttrium）system superconductors,yttrium supraconducteur (m),Y（Yttrium）-haltiger Supraleiter (m)
351,一般駅,general station,gare generale (f),Bahnhof (m)
352,一般化費用,generalized cost,cout generalise (m),verallgemeinerte Kosten (pl)
353,一般構造用圧延鋼,rolled steel for general structure,acier lamine pour structure generale (m),Walzstahl fur Hauptstruktur (m)
354,1分目列車ダイヤ,"train schedule, timetable drawn in one minute unit",horaire des trains par unite d’une minute (m),"Zugverzeichnis (n), Fahrplan dargestellt n Ein-Minuten-Einheiten (m)"
355,一本リンク,single link,liaison unique (f),Einzelverbindung (f)
356,一本リンク受,single link support,etancon de liaison unique (m),Einzelverbindungsstutze (f)
357,一本リンク式けん引装置,single link type（traction device）,type de liaison simple (systeme de traction) (m),Einfachverbindung-Typ-Zugforderungsausrustung (f)
358,EDS,electro dynamic suspension,suspension electrodynamique (f),elektrodynamisches Schweben (n)
359,EDLC,electric double layer capacitor,condensateur a double couche electrique (m),elektrischer Doppelschichtkondensator (m)
360,ETC［曲線の］,end of transition curve,fin de courbe de raccordement (f),Ubergangsbogenende (f)
361,ETCS,european train control system,"systeme europeen de controle, commande de la marche des trains (m), ETCS","europaisches Zugbeeinflussungssystem (n), European Train Control System, ETCS"
362,EDP［列車運行管理の］,electronic digital processing,traitement de donnees electronique (m),elektronische digitale Verarbeitung (f)
